,train_id,accuracy,hidden_size,batch_size,learning_rate,regularization,regular_strength
0,2024_0422(1713766182),0.7948,"[512, 256]",2,0.002,None,0.0
1,2024_0422(1713768064),0.7877,"[512, 256]",2,0.002,l2,0.1
2,2024_0422(1713770004),0.7931,"[512, 256]",2,0.002,l2,0.01
3,2024_0422(1713771977),0.7911,"[512, 256]",2,0.002,l2,0.001
4,2024_0422(1713773970),0.7651,"[512, 256]",2,0.004,None,0.0
5,2024_0422(1713775380),0.7632,"[512, 256]",2,0.004,l2,0.1
6,2024_0422(1713776846),0.754,"[512, 256]",2,0.004,l2,0.01
7,2024_0422(1713778205),0.7569,"[512, 256]",2,0.004,l2,0.001
8,2024_0422(1713779530),0.726,"[512, 256]",2,0.006,None,0.0
9,2024_0422(1713780769),0.7118,"[512, 256]",2,0.006,l2,0.1
10,2024_0422(1713782024),0.7402,"[512, 256]",2,0.006,l2,0.01
11,2024_0422(1713783282),0.7199,"[512, 256]",2,0.006,l2,0.001
12,2024_0422(1713784530),0.685,"[512, 256]",2,0.008,None,0.0
13,2024_0422(1713785699),0.6742,"[512, 256]",2,0.008,l2,0.1
14,2024_0422(1713786865),0.6662,"[512, 256]",2,0.008,l2,0.01
15,2024_0422(1713788050),0.7247,"[512, 256]",2,0.008,l2,0.001
16,2024_0422(1713789204),0.6232,"[512, 256]",2,0.01,None,0.0
17,2024_0422(1713790351),0.6041,"[512, 256]",2,0.01,l2,0.1
18,2024_0422(1713791487),0.6382,"[512, 256]",2,0.01,l2,0.01
19,2024_0422(1713792666),0.5664,"[512, 256]",2,0.01,l2,0.001
20,2024_0422(1713793801),0.8032,"[256, 128]",4,0.002,None,0.0
21,2024_0422(1713794638),0.8032,"[256, 128]",4,0.002,l2,0.1
22,2024_0422(1713795507),0.8024,"[256, 128]",4,0.002,l2,0.01
23,2024_0422(1713796353),0.8011,"[256, 128]",4,0.002,l2,0.001
24,2024_0422(1713797099),0.7845,"[256, 128]",4,0.004,None,0.0
25,2024_0422(1713797652),0.784,"[256, 128]",4,0.004,l2,0.1
26,2024_0422(1713798181),0.7928,"[256, 128]",4,0.004,l2,0.01
27,2024_0422(1713798715),0.7885,"[256, 128]",4,0.004,l2,0.001
28,2024_0422(1713799295),0.7583,"[256, 128]",4,0.006,None,0.0
29,2024_0422(1713799707),0.7752,"[256, 128]",4,0.006,l2,0.1
30,2024_0422(1713800119),0.7695,"[256, 128]",4,0.006,l2,0.01
31,2024_0422(1713800536),0.7645,"[256, 128]",4,0.006,l2,0.001
32,2024_0422(1713800991),0.7273,"[256, 128]",4,0.008,None,0.0
33,2024_0422(1713801369),0.7394,"[256, 128]",4,0.008,l2,0.1
34,2024_0423(1713801757),0.7478,"[256, 128]",4,0.008,l2,0.01
35,2024_0423(1713802145),0.7366,"[256, 128]",4,0.008,l2,0.001
36,2024_0423(1713802533),0.6979,"[256, 128]",4,0.01,None,0.0
37,2024_0423(1713802894),0.7222,"[256, 128]",4,0.01,l2,0.1
38,2024_0423(1713803237),0.7068,"[256, 128]",4,0.01,l2,0.01
39,2024_0423(1713803590),0.7223,"[256, 128]",4,0.01,l2,0.001
40,2024_0423(1713803954),0.8084,"[256, 64]",8,0.002,None,0.0
41,2024_0423(1713804692),0.8074,"[256, 64]",8,0.002,l2,0.1
42,2024_0423(1713805449),0.8038,"[256, 64]",8,0.002,l2,0.01
43,2024_0423(1713806191),0.8068,"[256, 64]",8,0.002,l2,0.001
44,2024_0423(1713806930),0.8117,"[256, 64]",8,0.004,None,0.0
45,2024_0423(1713807562),0.8125,"[256, 64]",8,0.004,l2,0.1
46,2024_0423(1713808209),0.812,"[256, 64]",8,0.004,l2,0.01
47,2024_0423(1713808922),0.8085,"[256, 64]",8,0.004,l2,0.001
48,2024_0423(1713809598),0.7879,"[256, 64]",8,0.006,None,0.0
49,2024_0423(1713810075),0.7941,"[256, 64]",8,0.006,l2,0.1
50,2024_0423(1713810493),0.796,"[256, 64]",8,0.006,l2,0.01
51,2024_0423(1713811000),0.8022,"[256, 64]",8,0.006,l2,0.001
52,2024_0423(1713811511),0.7725,"[256, 64]",8,0.008,None,0.0
53,2024_0423(1713811843),0.781,"[256, 64]",8,0.008,l2,0.1
54,2024_0423(1713812254),0.797,"[256, 64]",8,0.008,l2,0.01
55,2024_0423(1713812676),0.7725,"[256, 64]",8,0.008,l2,0.001
56,2024_0423(1713813057),0.7725,"[256, 64]",8,0.01,None,0.0
57,2024_0423(1713813426),0.7751,"[256, 64]",8,0.01,l2,0.1
58,2024_0423(1713813773),0.7634,"[256, 64]",8,0.01,l2,0.01
59,2024_0423(1713814134),0.7644,"[256, 64]",8,0.01,l2,0.001
60,2024_0423(1713814452),0.8064,"[128, 64]",8,0.002,None,0.0
61,2024_0423(1713814779),0.8022,"[128, 64]",8,0.002,l2,0.1
62,2024_0423(1713815108),0.7989,"[128, 64]",8,0.002,l2,0.01
63,2024_0423(1713815442),0.8039,"[128, 64]",8,0.002,l2,0.001
64,2024_0423(1713815772),0.8009,"[128, 64]",8,0.004,None,0.0
65,2024_0423(1713816056),0.8091,"[128, 64]",8,0.004,l2,0.1
66,2024_0423(1713816346),0.8034,"[128, 64]",8,0.004,l2,0.01
67,2024_0423(1713816668),0.8018,"[128, 64]",8,0.004,l2,0.001
68,2024_0423(1713816936),0.7985,"[128, 64]",8,0.006,None,0.0
69,2024_0423(1713817148),0.7919,"[128, 64]",8,0.006,l2,0.1
70,2024_0423(1713817355),0.777,"[128, 64]",8,0.006,l2,0.01
71,2024_0423(1713817544),0.7862,"[128, 64]",8,0.006,l2,0.001
72,2024_0423(1713817733),0.7769,"[128, 64]",8,0.008,None,0.0
73,2024_0423(1713817905),0.7791,"[128, 64]",8,0.008,l2,0.1
74,2024_0423(1713818075),0.7817,"[128, 64]",8,0.008,l2,0.01
75,2024_0423(1713818246),0.7827,"[128, 64]",8,0.008,l2,0.001
76,2024_0423(1713818413),0.7652,"[128, 64]",8,0.01,None,0.0
77,2024_0423(1713818565),0.7643,"[128, 64]",8,0.01,l2,0.1
78,2024_0423(1713818719),0.7667,"[128, 64]",8,0.01,l2,0.01
79,2024_0423(1713818892),0.7618,"[128, 64]",8,0.01,l2,0.001
80,2024_0423(1713819064),0.8145,[256],8,0.002,None,0.0
81,2024_0423(1713819746),0.8015,[256],8,0.002,l2,0.1
82,2024_0423(1713820431),0.7906,[256],8,0.002,l2,0.01
83,2024_0423(1713821113),0.7794,[256],8,0.002,l2,0.001
84,2024_0423(1713821517),0.806,[256],8,0.004,None,0.0
85,2024_0423(1713822202),0.8103,[256],8,0.004,l2,0.1
86,2024_0423(1713822876),0.8072,[256],8,0.004,l2,0.01
87,2024_0423(1713823565),0.8174,[256],8,0.004,l2,0.001
88,2024_0423(1713824245),0.8067,[256],8,0.006,None,0.0
89,2024_0423(1713824864),0.7932,[256],8,0.006,l2,0.1
90,2024_0423(1713825346),0.8091,[256],8,0.006,l2,0.01
91,2024_0423(1713826033),0.8215,[256],8,0.006,l2,0.001
92,2024_0423(1713826719),0.816,[256],8,0.008,None,0.0
93,2024_0423(1713827397),0.8116,[256],8,0.008,l2,0.1
94,2024_0423(1713827928),0.8131,[256],8,0.008,l2,0.01
95,2024_0423(1713828538),0.8163,[256],8,0.008,l2,0.001
96,2024_0423(1713829222),0.8094,[256],8,0.01,None,0.0
97,2024_0423(1713829841),0.8133,[256],8,0.01,l2,0.1
98,2024_0423(1713830384),0.8043,[256],8,0.01,l2,0.01
99,2024_0423(1713830952),0.8176,[256],8,0.01,l2,0.001
100,2024_0423(1713831626),0.7824,[128],16,0.002,None,0.0
101,2024_0423(1713831818),0.8022,[128],16,0.002,l2,0.1
102,2024_0423(1713832003),0.7933,[128],16,0.002,l2,0.01
103,2024_0423(1713832194),0.7912,[128],16,0.002,l2,0.001
104,2024_0423(1713832332),0.7699,[128],16,0.004,None,0.0
105,2024_0423(1713832459),0.7911,[128],16,0.004,l2,0.1
106,2024_0423(1713832593),0.7903,[128],16,0.004,l2,0.01
107,2024_0423(1713832779),0.7996,[128],16,0.004,l2,0.001
108,2024_0423(1713832972),0.7951,[128],16,0.006,None,0.0
109,2024_0423(1713833164),0.7881,[128],16,0.006,l2,0.1
110,2024_0423(1713833357),0.803,[128],16,0.006,l2,0.01
111,2024_0423(1713833547),0.8004,[128],16,0.006,l2,0.001
112,2024_0423(1713833736),0.8054,[128],16,0.008,None,0.0
113,2024_0423(1713833912),0.809,[128],16,0.008,l2,0.1
114,2024_0423(1713834105),0.8079,[128],16,0.008,l2,0.01
115,2024_0423(1713834295),0.8016,[128],16,0.008,l2,0.001
116,2024_0423(1713834483),0.8077,[128],16,0.01,None,0.0
117,2024_0423(1713834673),0.8111,[128],16,0.01,l2,0.1
118,2024_0423(1713834867),0.8048,[128],16,0.01,l2,0.01
119,2024_0423(1713835060),0.7983,[128],16,0.01,l2,0.001
